#Deutsch	Furigana	Romaji	Type	Baseform	Romaji  
Sushi	寿[す]司[し]	sushi	Vokabel-Nomen		
Wasser	水[みず]	mizu	Vokabel-Nomen		
bitte (gib mir, tue für mich) /höflich/	ください	kudasai	Vokabel-Expr		
(gekochter) Reis; Mahlzeit	ご 飯[はん]	gohan	Vokabel-Nomen		
grüner Tee /höflich/	お 茶[ちゃ]	ocha	Vokabel-Nomen		
und /zw. Nomen/;  mit /Partikel/	と	to	Vokabel-Part		
sein, ist, bin, bist /Kopula, höflich/	です	desu	Vokabel-Kopula	だ	da
Lehrer, Meister /nicht für eig. Beruf/	先[せん]生[せい]	sensei	Vokabel-Nomen		
Arzt, Doktor	医[い]者[しゃ]	isha	Vokabel-Nomen		
nett, freundlich	優[やさ]しい	yasashii	Vokabel-Adj-i		
Rechtsanwalt	弁[べん]護[ご]士[し]	bengoshi	Vokabel-Nomen		
gutaussehend, cool	かっこいい	kakkoii	Vokabel-Adj-i		
Student	学[がく]生[せい]	gakusei	Vokabel-Nomen		
Person	人[ひと]	hito	Vokabel-Nomen		
Sushi, bitte.	寿[す]司[し]、 ください。	Sushi, kudasai.	Beispielsatz		
Grüner Tee, bitte!	お 茶[ちゃ]、 ください！	Ocha, kudasai!	Beispielsatz		
Reis und Wasser, bitte!	ご 飯[はん] と 水[みず]、 ください！	Gohan to mizu, kudasai!	Beispielsatz		
Es ist Wasser.	水[みず] です。	Mizu desu.	Beispielsatz		
Er ist ein cooler Arzt!	かっこいい 医[い]者[しゃ] です！	Kakkoii isha desu!	Beispielsatz		
Er ist cool.	かっこいい です。	Kakkoii desu.	Beispielsatz		
Er ist ein netter Mensch!	優[やさ]しい 人[ひと] です！	Yasashii hito desu!	Beispielsatz		
Sie ist eine nette Schülerin.	優[やさ]しい 学[がく]生[せい] です。	Yasashii gakusei desu.	Beispielsatz		
Er ist ein netter Anwalt.	優[やさ]しい 弁[べん]護[ご]士[し] です。	Yasashii bengoshi desu.	Beispielsatz		
Er ist ein cooler Lehrer!	かっこいい 先[せん]生[せい] です！	Kakkoii sensei desu!	Beispielsatz		
hallo, guten Tag	こんにちは	konnichi wa	Vokabel-Expr		
seien Sie mir bitte gewogen; ich freue mich, Sie kennenzulernen	どうぞよろしく	douzo yoroshiku	Vokabel-Expr		
guten Abend	こんばんは	konban wa	Vokabel-Expr		
tschüß	じゃあね	jaane	Vokabel-Expr		
bis morgen	また 明[あ]日[した]	mata ashita	Vokabel-Expr		
chin. Nudeln, Ramen	ラーメン	raamen	Vokabel-Katakana		
Curry	カレー	karee	Vokabel-Katakana		
das (hier), dies /nicht für Personen/	これ	kore	Vokabel-Nomen		
/Satzthema-Partikel/	は	wa	Vokabel-Part		
gutschmeckend, köstlich, lecker	おいしい	oishii	Vokabel-Adj-i		
Pizza	ピザ	piza	Vokabel-Katakana		
Kuchen	ケーキ	keeki	Vokabel-Katakana		
das (dort), es /nicht für Personen/	それ	sore	Vokabel-Nomen		
/Frage-Partikel, am Satzende/	か	ka	Vokabel-Part		
ja	はい	hai	Vokabel-Interj		
nein	いいえ	iie	Vokabel-Interj		
/Höflichkeits-Suffix, nach Name/; Herr, Frau	さん	san	Vokabel-Suffix		
Ken /männl. Rufname/	けん	Ken	Vokabel-Name		
Blume; Hana /weibl. Rufname/	花[はな]	hana	Vokabel-Name		
Hallo, ich bin Hana.	こんにちは、 花[はな] です。	Konnichi wa, Hana desu.	Beispielsatz		
Ich bin Ken, schön dich kennenzulernen.	けん です、 どうぞよろしく。	Ken desu, douzo yoroshiku.	Beispielsatz		
Tschüß, bis morgen.	じゃあね、 また 明[あ]日[した]。	Jaane, mataashita.	Beispielsatz		
Hallo, Ken.	けん さん、 こんにちは。	Ken-san, konnichi wa.	Beispielsatz		
Dies ist Curry.	これ は カレー です。	Kore wa karee desu.	Beispielsatz		
Das ist Ramen.	それ は ラーメン です。	Sore wa raamen desu.	Beispielsatz		
Ist das lecker?	それ は おいしい です か。	Sore wa oishii desu ka.	Beispielsatz		
Ja, dies ist lecker.	はい、 これ は おいしい です。	Hai, kore wa oishii desu.	Beispielsatz		
Curry ist lecker.	カレー は おいしい です。	Karee wa oishii desu.	Beispielsatz		
Japan	日本[にほん]	Nihon	Vokabel-Nomen		
USA, Amerika	アメリカ	Amerika	Vokabel-Katakana		
groß; laut	大[おお]きい	ookii	Vokabel-Adj-i		
klein	小[ちい]さい	chiisai	Vokabel-Adj-i		
Kanada	カナダ	Kanada	Vokabel-Katakana		
Kanadier(in)	カナダ 人[じん]	Kanada jin	Vokabel-Nomen		
Amerikaner(in)	アメリカ 人[じん]	Amerika jin	Vokabel-Nomen		
Japaner(in)	日本[にほん]人[じん]	Nihon jin	Vokabel-Nomen		
Großbritannien, England	イギリス	Igirisu	Vokabel-Katakana		
-Mensch /Suffix/	人[じん]	jin	Vokabel-Suffix		
Brasilien	ブラジル	Burajiru	Vokabel-Katakana		
Engländer(in)	イギリス 人[じん]	Igirisu jin	Vokabel-Nomen		
Brasilianer(in)	ブラジル 人[じん]	Burajiru jin	Vokabel-Nomen		
Hotel	ホテル	hoteru	Vokabel-Katakana		
Gemischtwarenladen, Mini-Markt	コンビニ	konbini	Vokabel-Katakana		
wo, welcher Ort?	どこ	doko	Vokabel-Pron		
hier	ここ	koko	Vokabel-Pron		
Kaufhaus	デパート	depaato	Vokabel-Katakana		
Bushaltestelle	バス 停[てい]	basutei	Vokabel-Nomen		
Bahnhof	駅[えき]	eki	Vokabel-Nomen		
Universität	大[だい]学[がく]	daigaku	Vokabel-Nomen		
dort	そこ	soko	Vokabel-Pron		
Naomi /weibl. Rufname/	直美[なおみ]	Naomi	Vokabel-Name		
Amerika ist groß.	アメリカ は 大[おお]きい です。	Amerika wa ookii desu.	Beispielsatz		
Ich bin Kanadier.	カナダ 人[じん] です。	Kanada jin desu.	Beispielsatz		
Ist Ken Brasilianer?	けん さん は ブラジル 人[じん] です か。	Ken-san wa Burajiru jin desu ka.	Beispielsatz		
Naomi ist Britin.	直美[なおみ] さん は イギリス 人[じん] です。	Naomi-san wa Igirisu jin desu.	Beispielsatz		
Dies ist Amerika.	これ は アメリカ です。	Kore wa Amerika desu.	Beispielsatz		
Ist Japan klein?	日本[にほん] は 小[ちい]さい です か。	Nihon wa chiisai desu ka.	Beispielsatz		
Ist dies ein Hotel?	これ は ホテル です か。	Kore wa hoteru desu ka.	Beispielsatz		
Wo ist ein Mini-Markt?	コンビニ は どこ です か。	Konbini wa doko desu ka.	Beispielsatz		
Dies ist ein Mini-Markt.	これ は コンビニ です。	Kore wa konbini desu.	Beispielsatz		
Ist dies ein Mini-Markt?	これ は コンビニ です か。	Kore wa konbini desu ka.	Beispielsatz		
Wo ist Naomi?	直美[なおみ] さん は どこ です か。	Naomi-san wa doko desu ka.	Beispielsatz		
Ist es hier?	ここ です か。	Koko desu ka.	Beispielsatz		
Das Kaufhaus ist hier.	デパート は ここ です。	Depaato wa koko desu.	Beispielsatz		
Wo ist das Hotel?	ホテル は どこ です か。	Hoteru wa doko desu ka.	Beispielsatz		
Das Hotel ist dort.	ホテル は そこ です。	Hoteru wa soko desu.	Beispielsatz		
Ist die Bushaltestelle hier?	バス 停[てい] は ここ です か。	Basutei wa koko desu ka.	Beispielsatz		
Ja, sie ist hier.	はい、 ここ です。	Hai, koko desu.	Beispielsatz		
Ist dies ein Kaufhaus?	これ は デパート です か。	Kore wa depaato desu ka.	Beispielsatz		
(Regen-) Schirm	傘[かさ]	kasa	Vokabel-Nomen		
Hut, Mütze	帽子[ぼうし]	boushi	Vokabel-Nomen		
ich	私[わたし]	watashi	Vokabel-Pron		
